band_ceiling,taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
0,nil,98000,0,0,0,0,0,98000,0.026579226436024
1000,"$1      -   $1,000",81500,38.9,4.1,477.300613496933,34.8,426.993865030675,179500,0.04868337903333
2000,"$1,001  -   $2,000",53760,79.6,8.4,1480.65476190476,71.2,1324.40476190476,233260,0.063263983249663
3000,"$2,001  -   $3,000",48010,119.9,12.6,2497.39637575505,107.3,2234.95105186419,281270,0.076285092037352
4000,"$3,001   -  $4,000",43170,150.8,15.8,3493.16655084549,135,3127.17164697707,324440,0.087993512499017
5000,"$4,001   -  $5,000",40400,182.8,19.2,4524.75247524752,163.6,4049.50495049505,364840,0.09895066298897
6000,"$5,001   -  $6,000",39710,218.5,22.9,5502.39234449761,195.6,4925.71140770587,404550,0.109720674027485
7000,"$6,001   -  $7,000",41390,269.3,28.2,6506.40251268422,241.1,5825.07852138198,445940,0.120946328947761
8000,"$7,001   -  $8,000",42840,321.8,33.8,7511.67133520075,288,6722.68907563025,488780,0.132565247932651
9000,"$8,001   -  $9,000",42920,365.3,38.3,8511.1835973905,327,7618.825722274,531700,0.144205864245245
10000,"$9,001   - $10,000",41330,393.9,41.3,9530.60730704089,352.6,8531.33317203,573030,0.155415246169744
11000,"$10,001  - $11,000",54500,570.3,59.8,10464.2201834862,510.5,9366.97247706422,627530,0.170196550667328
12000,"$11,001  - $12,000",44630,514,53.9,11516.9168720592,460.1,10309.209052207,672160,0.182300947359571
13000,"$12,001  - $13,000",81240,1015.5,106.6,12500,908.9,11187.8385032004,753400,0.204334583641842
14000,"$13,001  - $14,000",42940,579.7,60.8,13500.2328830927,518.9,12084.3036795529,796340,0.215980624286361
15000,"$14,001  - $15,000",42110,610.7,65.5,14502.4934694847,545.2,12947.043457611,838450,0.227401555155963
16000,"$15,001  - $16,000",95490,1483.3,165.9,15533.5637239502,1317.4,13796.2090271233,933940,0.253300027935309
17000,"$16,001  - $17,000",210420,3532.8,412,16789.2785856858,3120.8,14831.2898013497,1144360,0.310369424125801
18000,"$17,001  - $18,000",57670,1011.1,120.4,17532.5125715277,890.7,15444.7719784984,1202030,0.326010485233612
19000,"$18,001  - $19,000",64480,1186.4,144.3,18399.5037220844,1042.1,16161.6004962779,1266510,0.343498531362131
20000,"$19,001 -  $20,000",44440,866.8,108.1,19504.9504950495,758.7,17072.4572457246,1310950,0.355551396901079
21000,"$20,000 -  $21,000",88830,1826.1,232.4,20557.2441742654,1593.7,17941.0109197343,1399780,0.379643567149161
22000,"$21,001 -  $22,000",44540,957.7,123.9,21502.0206555905,833.8,18720.2514593624,1444320,0.391723554347738
23000,"$22,001  - $23,000",143340,3215.5,422.1,22432.6775498814,2793.4,19487.9307939166,1587660,0.430599741259367
24000,"$23,001  - $24,000",37930,891,118.5,23490.640653836,772.5,20366.464539942,1625590,0.440886986756494
25000,"$24,001  - $25,000",39930,977.9,123.9,24490.3581267218,854,21387.4279989982,1665520,0.451716665446192
26000,"$25,001  - $26,000",35900,915.4,117.5,25498.6072423398,797.9,22225.6267409471,1701420,0.461453341252858
27000,"$26,001  - $27,000",34890,924.6,119.8,26500.4299226139,804.8,23066.781312697,1736310,0.470916088297275
28000,"$27,001  - $28,000",33660,925.9,121.1,27507.4272133096,804.8,23909.6850861557,1769970,0.480045238928261
29000,"$28,001  - $29,000",34140,972.8,128.7,28494.4346807264,844.1,24724.6631517282,1804110,0.489304573525463
30000,"$29,001  - $30,000",34350,1013,135.4,29490.538573508,877.6,25548.7627365357,1838460,0.498620863607886
31000,"$30,001  - $31,000",36400,1110.1,148.7,30497.2527472527,961.4,26412.0879120879,1874860,0.508493147712695
32000,"$31,001  - $32,000",35460,1116.9,152.1,31497.461928934,964.8,27208.1218274112,1910320,0.518110488216995
33000,"$32,001  - $33,000",34820,1132,154.4,32510.0516944285,977.6,28075.8184951177,1945140,0.527554250099672
34000,"$33,001  - $34,000",34680,1161.9,160.4,33503.4602076125,1001.5,28878.3160322953,1979820,0.536960041658869
35000,"$34,001  - $35,000",33760,1164.3,161.1,34487.5592417062,1003.2,29715.6398104265,2013580,0.546116313949483
36000,"$35,001  - $36,000",37040,1314.8,183.4,35496.7602591793,1131.4,30545.3563714903,2050620,0.556162176675915
37000,"$36,001  - $37,000",34290,1251.4,175.3,36494.6048410615,1076.1,31382.3272090989,2084910,0.565462193762561
38000,"$37,001  - $38,000",38070,1428.2,200.8,37515.1037562385,1227.4,32240.60940373,2122980,0.575787409583167
39000,"$38,001  - $39,000",34610,1332.2,189.4,38491.7653857267,1142.8,33019.3585668882,2157590,0.585174215980624
40000,"$39,001 -  $40,000",36910,1458.2,207.8,39506.9086968301,1250.4,33876.998103495,2194500,0.595184820549539
41000,"$40,001  - $41,000",36580,1480.9,212,40483.8709677419,1268.9,34688.3542919628,2231080,0.605105923641679
42000,"$41,001  - $42,000",36630,1520.1,219.2,41498.7714987715,1300.9,35514.6055146055,2267710,0.615040587563634
