taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
nil,86130,0,0,0,0,0,86130,0.022312431026533
"$1      -   $1,000",81390,38.7,4.1,475.488389237007,34.6,425.113650325593,167520,0.043396940039066
"$1,001  -   $2,000",53850,80.2,8.4,1489.32219127205,71.8,1333.33333333333,221370,0.057347066717096
"$2,001  -   $3,000",48340,120.3,12.6,2488.62225899876,107.7,2227.96855606123,269710,0.069869798817672
"$3,001   -  $4,000",46020,160.3,16.8,3483.26814428509,143.5,3118.20947414168,315730,0.081791522675109
"$4,001   -  $5,000",38990,175.6,18.4,4503.71890228264,157.2,4031.80302641703,354720,0.091892087933723
"$5,001   -  $6,000",38750,212.9,22.3,5494.1935483871,190.6,4918.70967741936,393470,0.101930479925807
"$6,001   -  $7,000",38630,251.9,26.4,6520.83872637846,225.5,5837.43204763137,432100,0.111937785284624
"$7,001   -  $8,000",39710,298.6,31.3,7519.51649458575,267.3,6731.30193905817,471810,0.122224870342834
"$8,001   -  $9,000",40290,342.9,35.9,8510.79672375279,307,7619.75676346488,512100,0.132662207461828
"$9,001   - $10,000",40890,388.7,40.8,9505.99168500856,347.9,8508.19271215456,552990,0.143254977747152
"$10,001  - $11,000",52000,544.4,57.1,10469.2307692308,487.3,9371.15384615385,604990,0.156725852162334
"$11,001  - $12,000",43420,498.3,52.3,11476.2782128052,446,10271.7641639797,648410,0.167974032299012
"$12,001  - $13,000",79550,991.9,104.1,12468.8874921433,887.8,11160.2765556254,727960,0.188581879601469
"$13,001  - $14,000",46990,634.2,66.5,13496.4886145989,567.7,12081.2938923175,774950,0.200754887077805
"$14,001  - $15,000",40690,589.7,63.3,14492.504300811,526.4,12936.8395183092,815640,0.211295846307685
"$15,001  - $16,000",92750,1440.2,161.1,15527.7628032345,1279.1,13790.8355795148,908390,0.235323223269381
"$16,001  - $17,000",55960,927.2,107.3,16568.9778413152,819.9,14651.5368120086,964350,0.249819956582336
"$17,001  - $18,000",206640,3651.1,436.4,17668.8927603562,3214.7,15557.0073557878,1170990,0.303351139066054
"$18,001  - $19,000",49170,909.7,110.9,18501.1185682327,798.8,16245.6782591011,1220160,0.316088887046718
"$19,001 -  $20,000",69710,1360.8,169.7,19520.8721847655,1191.1,17086.5012193373,1289870,0.334147630421379
"$20,000 -  $21,000",44350,909.4,115.6,20505.0732807215,793.8,17898.5343855693,1334220,0.345636731965867
"$21,001 -  $22,000",84790,1823.3,235.9,21503.7150607383,1587.4,18721.5473522821,1419010,0.367602028920931
"$22,001  - $23,000",48630,1093.5,143.5,22486.1196792104,950,19535.2662965248,1467640,0.380199887051899
"$23,001  - $24,000",147870,3462.9,460.8,23418.5433150741,3002.1,20302.2925542706,1615510,0.418506390893689
"$24,001  - $25,000",39230,961.1,121.5,24499.1078256436,839.6,21401.9882742799,1654740,0.428669129418835
"$25,001  - $26,000",37210,949.4,122.2,25514.6466003762,827.2,22230.5831765654,1691950,0.438308576284008
"$26,001  - $27,000",36510,967.2,125.2,26491.3722267872,842,23062.1747466448,1728460,0.447766684455129
"$27,001  - $28,000",35940,988.7,129.8,27509.7384529772,858.9,23898.16360601,1764400,0.457077131118238
"$28,001  - $29,000",33770,962.2,127.4,28492.7450399763,834.8,24720.1658276577,1798170,0.46582542782979
"$29,001  - $30,000",34540,1019.1,136.2,29504.9218297626,882.9,25561.6676317313,1832710,0.474773197104798
"$30,001  - $31,000",34220,1043.5,140.6,30493.8632378726,902.9,26385.154880187,1866930,0.483638068691097
"$31,001  - $32,000",33760,1063.8,144.6,31510.663507109,919.2,27227.4881516588,1900690,0.492383774849877
"$32,001  - $33,000",35860,1165.1,159.4,32490.2398215282,1005.7,28045.1756832125,1936550,0.501673497090809
"$33,001  - $34,000",36000,1206.4,165.8,33511.1111111111,1040.6,28905.5555555556,1972550,0.510999487070551
"$34,001  - $35,000",34840,1202.6,166.3,34517.7956371986,1036.3,29744.5464982778,2007390,0.520024972928723
"$35,001  - $36,000",35290,1252.9,174,35502.9753471238,1078.9,30572.4001133466,2042680,0.529167033661643
"$36,001  - $37,000",36200,1320.5,184.9,36477.9005524862,1135.6,31370.1657458563,2078880,0.538544834696828
"$37,001  - $38,000",36480,1368.4,193,37510.9649122807,1175.4,32220.3947368421,2115360,0.547995171209633
"$38,001  - $39,000",38790,1493.5,211,38502.191286414,1282.5,33062.6450116009,2154150,0.558043925412805
"$39,001 -  $40,000",36710,1450.4,206.9,39509.6703895396,1243.5,33873.6039226369,2190860,0.567553844639369
"$40,001  - $41,000",38410,1556.6,222.9,40525.9047123145,1333.7,34722.7284561312,2229270,0.577504157837199
"$41,001  - $42,000",38040,1579.4,227.1,41519.4532071504,1352.3,35549.421661409,2267310,0.58735862058246
"$42,001  - $43,000",38770,1648.1,238,42509.6724271344,1410.1,36370.9053391798,2306080,0.597402193680088
"$43,001  - $44,000",38790,1688.2,245.7,43521.5261665378,1442.5,37187.4194379995,2344870,0.607450947883259
"$44,001  - $45,000",40540,1804.9,264.8,44521.4602861372,1540.1,37989.6398618648,2385410,0.617953048821558
"$45,001  - $46,000",37890,1723.8,256.7,45494.8535233571,1467.1,38719.9788862497,2423300,0.627768653275236
"$46,001  - $47,000",36770,1709.7,258.4,46497.1444112048,1451.3,39469.6763666032,2460070,0.637294115818433
"$47,001  - $48,000",43750,2081.3,319,47572.5714285714,1762.3,40281.1428571429,2503820,0.648627784196592
"$48,001  - $49,000",36910,1790.1,278.7,48499.0517474939,1511.4,40948.2525060959,2540730,0.658189514478599
"$49,001  - $50,000",38120,1887.9,299.8,49525.1836306401,1588.1,41660.5456453305,2578850,0.668064701646037
"$50,000  - $51,000",37480,1892.6,305.8,50496.2646744931,1586.8,42337.2465314835,2616330,0.677774093436057
"$51,001  - $52,000",35210,1813.7,298.1,51510.9343936382,1515.6,43044.5896052258,2651540,0.686895429746799
"$52,001  - $53,000",30560,1604.4,268,52500,1336.4,43730.3664921466,2682100,0.694812159018491
"$53,001  - $54,000",30420,1628,276,53517.422748192,1352,44444.4444444444,2712520,0.702692620551373
"$54,001  - $55,000",29700,1618.6,278.2,54498.3164983165,1340.4,45131.3131313131,2742220,0.71038656228466
"$55,001  - $56,000",31400,1742.6,303.6,55496.8152866242,1439,45828.025477707,2773620,0.718520897989213
"$56,001  - $57,000",30150,1703.2,300.5,56490.8789386401,1402.7,46524.0464344942,2803770,0.726331414597247
"$57,001  - $58,000",29270,1683.1,300.6,57502.5623505296,1382.5,47232.6614280834,2833040,0.733913962561331
"$58,001  - $59,000",27820,1627.2,294,58490.294751977,1333.2,47922.358015816,2860860,0.741120880373454
"$59,001  - $60,000",29150,1735.4,317.2,59533.4476843911,1418.2,48651.8010291595,2890010,0.748672341704273
"$60,001  - $61,000",26730,1617,298.5,60493.8271604938,1318.5,49326.5993265993,2916740,0.755596889264231
